,Mã tin,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Phòng ngủ,Phòng tắm,Lầu,Lửng,Tầng thượng,Hướng,Đường,Phường,Quận,Giá,Đơn giá gộp,Tiêu đề,Địa chỉ,"Gần chợ, siêu thị",Gần trường học,Di chuyển thuận tiện ra trung tâm,"Khu vực an ninh, yên tĩnh",phân loại
0,387193,14.0,14.0,,,,,1.0,1.0,0,0,0,Đông,Đ.Gò Công,P.13,Q.5,0.75,53.5,bán chung cư cũ gò công quận 5 - gần chợ kim biên,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",0,0,0,0,2.0
7,207883,44.1,44.1,,,,,1.0,1.0,0,0,0,Tây,Đ.Gò Công,P.13,Q.5,1.0,22.6,bán căn hộ chung cư lầu 4 đường gò công - trung tâm quận 5 - gần chợ kim biên,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",1,1,1,1,2.0
9,393792,36.0,36.0,,,,,1.0,1.0,0,0,0,,Đ.Tân Mỹ,P.Tân Phú,Q.7,1.05,29.1,"bán  căn hộ res iii, 1pn, 1wc,  phường tân phú, quận 7","Đ.Tân Mỹ, P.Tân Phú, Q.7, Hồ Chí Minh",0,0,0,0,2.0
13,417476,36.7,36.7,,,,,1.0,1.0,0,0,0,Bắc,Đ.Phạm Thế Hiển,P.4,Q.8,1.1,29.9,bán căn hộ lô c chung cư phạm thế hiển - sổ hồng riêng chính chủ,"Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh",0,0,0,0,2.0
17,204923,20.38,20.38,,,,,1.0,1.0,0,0,0,Đông,Đ.Nguyễn Trãi,P.14,Q.5,1.1,53.9,bán căn hộ chung cư ngay trung tâm quận 5,"Đ.Nguyễn Trãi, P.14, Q.5, Hồ Chí Minh",1,1,1,0,2.0
21,382860,34.0,34.0,,,,,1.0,1.0,0,0,0,Bắc,Đ.số 8,P.Tân Phú,Q.7,1.15,33.8,bán căn hộ 1 phòng ngủ chung cư tân mỹ quận 7- căn hộ thoáng mát.,"Đ.số 8, P.Tân Phú, Q.7, Hồ Chí Minh",1,1,0,0,2.0
24,409014,33.1,33.1,,,,,1.0,1.0,0,0,0,,Đ.số 8,P.Tân Phú,Q.7,1.15,34.7,căn hộ tầng thấp chung cư tân mỹ quận 7 đang để trống,"Đ.số 8, P.Tân Phú, Q.7, Hồ Chí Minh",0,0,0,0,2.0
25,394540,39.0,39.0,,,,,1.0,1.0,0,0,0,,Đ.Huỳnh Tấn Phát,P.Phú Thuận,Q.7,1.15,29.4,"bán căn hộ chung cư officetel d-vela,  phường phú thuận - quận 7","Đ.Huỳnh Tấn Phát, P.Phú Thuận, Q.7, Hồ Chí Minh",0,0,0,0,2.0
26,176668,30.44,30.44,,,,,1.0,1.0,0,0,0,,Đ.Nguyễn Hữu Thọ,X.Phước Kiển,H.Nhà Bè,1.16,38.1,bán căn hộ 1 phòng ngủ chung cư silver star-hưng phát 2 thích hợp mở văn phòng hoặc để ở đường nguyễn hữu thọ xã phước kiển huyện nhà bè,"Đ.Nguyễn Hữu Thọ, X.Phước Kiển, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,2.0
28,394689,40.0,40.0,,,,,1.0,1.0,0,0,0,,Đ.Nguyễn Văn Quá,P.Đông Hưng Thuận,Q.12,1.2,30.0,"bán căn hộ 1 pn sang trọng, đầy đủ nội thất tại thái an 4 - quận 12","Đ.Nguyễn Văn Quá, P.Đông Hưng Thuận, Q.12, Hồ Chí Minh",1,0,0,0,2.0
29,391429,20.0,20.0,,,,,1.0,1.0,0,0,0,Tây,Đ.Võ Văn Kiệt,P.1,Q.5,1.2,60.0,bán căn hộ chung cư đường võ văn kiệt quận 5 - gần chợ hòa bình,"Đ.Võ Văn Kiệt, P.1, Q.5, Hồ Chí Minh",0,0,0,0,2.0
31,215105,50.03,50.03,,,,,2.0,2.0,0,0,0,,Đ.Nguyễn Văn Linh,X.An Phú Tây,H.Bình Chánh,1.2,23.9,"bán chung cư căn hộ hqc-đường nguyễn văn linh, huyện bình chánh","Đ.Nguyễn Văn Linh, X.An Phú Tây, H.Bình Chánh, Hồ Chí Minh",1,1,0,0,2.0
33,394789,28.6,28.6,,,,,1.0,1.0,0,0,0,,Đ.Nguyễn Lương Bằng,P.Phú Mỹ,Q.7,1.2,41.9,"bán căn hộ 1 phòng ngủ, 1wc, chung cư boulevar, phường phú mỹ, quận 7","Đ.Nguyễn Lương Bằng, P.Phú Mỹ, Q.7, Hồ Chí Minh",0,0,0,0,2.0
34,404618,33.1,33.1,,,,,1.0,1.0,0,0,0,Đ.Bắc,Đ.Nguyễn Lương Bằng,P.Tân Phú,Q.7,1.2,36.2,bán căn hộ 1 phòng ngủ chung cư tân mỹ phường tân phú quận 7 ,"Đ.Nguyễn Lương Bằng, P.Tân Phú, Q.7, Hồ Chí Minh",0,0,0,0,2.0
