,Mã tin,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Phòng ngủ,Phòng tắm,Lầu,Lửng,Tầng thượng,Hướng,Đường,Phường,Quận,Giá,Đơn giá gộp,Tiêu đề,Địa chỉ,"Gần chợ, siêu thị",Gần trường học,Di chuyển thuận tiện ra trung tâm,"Khu vực an ninh, yên tĩnh",phân loại
4,377209,96.1,,19.4,5.0,2.0,,,,0,0,0,T.Nam,Đ.TL15,X.Tân Hiệp,H.Hóc Môn,0.95,9.8,"bán lô đất nông nghiệp, diện tích 96.1m2 tân hiệp hóc môn","Đ.TL15, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh",1,1,0,0,3.0
6,314361,51.5,,13.28,4.0,4.0,,,,0,0,0,,Đ.Qui Đức,X.Quy Đức,H.Bình Chánh,0.95,18.4,"bán đất nền xã qui đức, huyện bình chánh - sổ hồng riêng chính chủ","Đ.Qui Đức, X.Quy Đức, H.Bình Chánh, Hồ Chí Minh",1,1,1,0,3.0
16,322100,63.7,,16.3,4.0,2.0,,,,0,0,0,Đông,Đ.Bông Văn Dĩa,X.Tân Kiên,H.Bình Chánh,1.1,17.2,bán đất nền bình chánh - gần trường học,"Đ.Bông Văn Dĩa, X.Tân Kiên, H.Bình Chánh, Hồ Chí Minh",1,1,0,0,3.0
22,348816,57.0,,14.3,4.0,4.0,,,,0,0,0,Đông,Đ.6B Vĩnh Lộc,X.Vĩnh Lộc B,H.Bình Chánh,1.15,20.1,"bán đất hẻm an ninh đường 6b, xã vĩnh lộc b huyện bình chánh","Đ.6B Vĩnh Lộc, X.Vĩnh Lộc B, H.Bình Chánh, Hồ Chí Minh",0,0,0,0,3.0
39,369318,15.8,,6.0,2.6,2.7,,,,0,0,0,Bắc,Đ.Bùi Văn Ba,P.Tân Thuận Đông,Q.7,1.2,75.9,bán đất nền hẻm thông thoáng phường tân thuận đông quận 7 - gần khu chế xuất tân thuận,"Đ.Bùi Văn Ba, P.Tân Thuận Đông, Q.7, Hồ Chí Minh",1,1,1,1,3.0
46,103583,47.7,,11.66,4.0,,5.0,,,0,0,0,T.Nam,Đ.Thạnh Xuân 14,P.Thạnh Xuân,Q.12,1.25,26.2,bán lô đất nông nghiệp quận 12 - cách đường ql1a 1km,"Đ.Thạnh Xuân 14, P.Thạnh Xuân, Q.12, Hồ Chí Minh",0,0,0,1,3.0
57,364423,83.9,,17.19,5.0,4.0,,,,0,0,0,Tây,Đ.Lê Văn Lương,X.Nhơn Đức,H.Nhà Bè,1.3,15.4,bán đất nền hẻm thông thoáng xã nhơn đức huyện nhà bè,"Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,3.0
91,420199,82.0,,16.45,5.0,7.0,,,,0,0,0,Đ.Bắc,Đ.Trần Văn Giàu,X.Phạm Văn Hai,H.Bình Chánh,1.4,17.0,bán đất nền huyện bình chánh - hẻm xe oto lưu thông,"Đ.Trần Văn Giàu, X.Phạm Văn Hai, H.Bình Chánh, Hồ Chí Minh",0,0,0,0,3.0
93,337443,46.0,,9.86,5.02,2.0,,,,0,0,0,,Đ.Đinh Đức Thiện,X.Tân Quý Tây,H.Bình Chánh,1.45,31.5,"bán đất nền xã tân quý tây, huyện bình chánh - sổ hồng riêng chính chủ","Đ.Đinh Đức Thiện, X.Tân Quý Tây, H.Bình Chánh, Hồ Chí Minh",1,1,1,0,3.0
94,326659,63.2,,16.02,4.04,3.56,,,,0,0,0,Nam,Đ.Bờ Bao HTX Phong Phú,X.Phong Phú,H.Bình Chánh,1.45,22.9,bán đất nền hẻm xe ba gác thông thoáng xã phong phú huyện bình chánh - sổ hồng riêng chính chủ,"Đ.Bờ Bao HTX Phong Phú, X.Phong Phú, H.Bình Chánh, Hồ Chí Minh",0,1,0,1,3.0
108,29248,127.3,,25.0,5.0,2.0,,,,0,0,0,Đông,Đ.Quốc Lộ 1A,X.Tân Quý Tây,H.Bình Chánh,1.5,11.7,"chính chủ bán gấp lô đất nền thuộc xã tân quý tây, huyện bình chánh","Đ.Quốc Lộ 1A, X.Tân Quý Tây, H.Bình Chánh, Hồ Chí Minh",0,1,0,1,3.0
115,174626,138.7,,13.8,10.0,3.0,,,,0,0,0,Tây,Đ.Thị Trấn Tân Hiệp,X.Tân Hiệp,H.Hóc Môn,1.5,10.8,bán lô đất 138.7m2 thị trấn tân hiệp hóc môn,"Đ.Thị Trấn Tân Hiệp, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh",1,1,0,0,3.0
117,393949,374.5,,24.0,16.69,,4.5,,,0,0,0,T.Nam,Đ.Gò me,X.Hiệp Phước,H.Nhà Bè,1.5,4.0,bán đất nông nghiệp đường gò me xã hiệp phước huyện nhà bè - thích hợp xây mới hoặc đầu tư,"Đ.Gò me, X.Hiệp Phước, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,3.0
118,310689,80.0,,14.0,5.0,3.0,,,,0,0,0,Đ.Nam,Đ.Quốc Lộ 22,X.Xuân Thới Sơn,H.Hóc Môn,1.5,18.7,bán lô đất trồng cây lâu năm diện tích 80m2 xuân thới sơn hóc môn ,"Đ.Quốc Lộ 22, X.Xuân Thới Sơn, H.Hóc Môn, Hồ Chí Minh",0,0,0,0,3.0
126,353828,86.0,,21.5,4.0,2.2,,,,0,0,0,Tây,Đ.Nguyễn Xiển,P.Long Bình,Q.9,1.52,17.6,bán lô đất trồng cây lâu năm phường long bình- thành phố thủ đức,"Đ.Nguyễn Xiển, P.Long Bình, Q.9, Hồ Chí Minh",1,1,1,1,3.0
134,409407,77.1,77.1,19.16,4.0,5.0,,,,0,0,0,Nam,Đ.Ấp 4,X.Bình Lợi,H.Bình Chánh,1.55,20.1,"bán đất hẻm xe hơi xã bình lợi, huyện bình chánh ","Đ.Ấp 4, X.Bình Lợi, H.Bình Chánh, Hồ Chí Minh",0,0,0,0,3.0
165,372115,59.4,,14.98,4.0,3.0,,,,0,0,0,T.Nam,Đ.Ấp Chánh 2,X.Tân Xuân,H.Hóc Môn,1.6,26.9,"bán lô đất trồng cây, diện tích 59.4m2 tân xuân hóc môn","Đ.Ấp Chánh 2, X.Tân Xuân, H.Hóc Môn, Hồ Chí Minh",1,1,0,0,3.0
