,Mã tin,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Phòng ngủ,Phòng tắm,Lầu,Lửng,Tầng thượng,Hướng,Đường,Phường,Quận,Giá,Đơn giá gộp,Tiêu đề,Địa chỉ,"Gần chợ, siêu thị",Gần trường học,Di chuyển thuận tiện ra trung tâm,"Khu vực an ninh, yên tĩnh",phân loại
1,417224,34.91,34.91,,,,,1.0,1.0,0,0,0,,Đ.Hương Lộ 80,X.Vĩnh Lộc A,H.Bình Chánh,0.78,22.3,bán căn hộ nhà ở xã hội huyện bình chánh,"Đ.Hương Lộ 80, X.Vĩnh Lộc A, H.Bình Chánh, Hồ Chí Minh",0,0,0,0,1.0
2,391821,4.3,12.9,2.11,2.22,1.0,,2.0,1.0,2,0,0,Đ.Bắc,Đ.Hồ Thị Kỷ,P.1,Q.10,0.9,209.3,bán nhà hẻm an ninh hồ thị kỷ p1 q10 - nhà kiên cố ở ngay,"Đ.Hồ Thị Kỷ, P.1, Q.10, Hồ Chí Minh",0,0,0,0,1.0
3,345253,10.2,20.4,4.0,2.5,1.8,,1.0,1.0,1,0,0,Đ.Nam,Đ.Tôn Đản,P.10,Q.4,0.93,91.1,"bán nhà hẻm quận 4 - nhà nhỏ, thích hợp gia đình nhỏ ở","Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",1,1,1,1,1.0
5,408203,19.8,39.6,6.0,3.3,2.0,,2.0,1.0,1,0,0,Đông,Đ.Huỳnh Tấn Phát,X.Phú Xuân,H.Nhà Bè,0.95,47.9,"bán nhà hẻm xã phú xuân, huyện nhà bè- chỉ 3 phút di chuyển ra phà bình khánh","Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
8,315476,10.6,10.6,3.38,2.59,0.94,,1.0,1.0,0,1,0,Tây,Đ.An Dương Vương,P.13,Q.6,1.0,94.3,bán nhà nhỏ quận 6 - gần chung cư summer square - đang cho thuê 3 triệu/ 1 tháng,"Đ.An Dương Vương, P.13, Q.6, Hồ Chí Minh",1,1,1,0,1.0
10,392210,7.4,14.8,4.33,1.64,2.0,,1.0,1.0,1,0,0,Bắc,Đ.Tôn Đản,P.10,Q.4,1.05,141.8,bán nhà hẻm tôn đản phường 10 quận 4 - nhà gần tiểu học xóm chiếu,"Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",0,0,0,0,1.0
11,387712,10.3,21.4,5.1,2.0,2.3,,1.0,1.0,1,0,0,T.Bắc,Đ.Trần Xuân Soạn,P.Tân Hưng,Q.7,1.05,101.9,bán nhà 1 trệt 1 lầu hẻm xe máy phường tân hưng quận 7 ,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh",1,1,1,1,1.0
12,107510,7.6,23.0,3.42,1.6,2.0,,2.0,2.0,2,0,0,Đ.Nam,Đ.Âu Cơ,P.Phú Trung,Q.Tân Phú,1.05,138.1,"bán nhà quận tân phú hẻm yên tĩnh, giáp tân bình","Đ.Âu Cơ, P.Phú Trung, Q.Tân Phú, Hồ Chí Minh",0,1,1,1,1.0
14,360588,4.7,9.2,3.32,1.52,2.1,,2.0,1.0,2,0,0,T.Bắc,Đ.Bông Sao,P.5,Q.8,1.1,234.0,bán nhà hẻm thông thoáng phường 5 quận 8 - sổ hồng riêng chính chủ,"Đ.Bông Sao, P.5, Q.8, Hồ Chí Minh",0,0,0,0,1.0
15,361245,24.0,48.0,8.0,3.0,3.0,,2.0,1.0,1,0,0,T.Nam,Đ.Huỳnh Tấn Phát,X.Phú Xuân,H.Nhà Bè,1.1,45.8,bán nhà hẻm thông thoáng xã phú xuân huyện nhà bè,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
18,353896,9.5,19.0,7.08,2.0,3.47,,1.0,1.0,1,0,0,Đông,Đ.Tân Hòa Đông,P.14,Q.6,1.12,117.8,nhà nhỏ sổ hồng riêng hẻm tân hòa đông p14 q6 - 2 x 7.08m,"Đ.Tân Hòa Đông, P.14, Q.6, Hồ Chí Minh",0,0,0,0,1.0
19,225425,14.0,28.0,7.0,2.0,2.0,,2.0,1.0,1,0,0,T.Nam,Đ.Văn Thân,P.8,Q.6,1.15,82.1,bán nhà nhỏ xinh 1 lầu đúc thật đường văn thân p8 q6 - 2x7m,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh",1,1,1,1,1.0
20,165468,11.4,17.6,5.44,2.34,2.0,,2.0,1.0,1,0,0,Đ.Nam,Đ.Lưu Hữu Phước,P.15,Q.8,1.15,100.8,"bán nhà riêng phường 15, quận 8 - sổ hồng riêng chính chủ","Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh",1,1,0,0,1.0
23,364833,9.4,9.4,4.54,1.87,1.16,,1.0,1.0,1,0,0,Tây,Đ.Ba Đình,P.10,Q.8,1.15,122.3,bán nhà hẻm phường 10 quận 8 - sổ hồng riêng chính chủ,"Đ.Ba Đình, P.10, Q.8, Hồ Chí Minh",0,0,0,0,1.0
27,419926,16.0,48.0,4.6,3.4,6.0,,2.0,1.0,2,0,0,Bắc,Đ.Lê Văn Lương,X.Nhơn Đức,H.Nhà Bè,1.18,73.7,bán nhà riêng huyện nhà bè - hẻm xe hơi 6m,"Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh",0,0,0,0,1.0
30,282770,10.5,21.0,3.03,3.85,1.1,,2.0,1.0,1,1,0,T.Bắc,Đ.Lưu Hữu Phước,P.15,Q.8,1.2,114.2,bán nhà riêng phường 15 quận 8 - sổ hồng riêng chính chủ,"Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh",1,1,0,0,1.0
32,112091,12.9,25.8,5.87,2.0,1.0,,1.0,1.0,1,0,0,T.Nam,Đ.Nguyễn Văn Lượng,P.17,Q.Gò Vấp,1.2,93.0,bán nhà quận gò vấp - hẻm yên tĩnh - nhà trống giao ngay,"Đ.Nguyễn Văn Lượng, P.17, Q.Gò Vấp, Hồ Chí Minh",1,1,0,1,1.0
35,395307,8.4,29.7,4.28,1.97,2.5,,2.0,2.0,2,1,0,T.Nam,Đ.Trần Xuân Soạn,P.Tân Hưng,Q.7,1.2,142.8,bán nhà 1 trệt 1 lửng 2 lầu hẻm xe máy phường tân hưng quận 7 ,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh",1,1,1,1,1.0
36,414635,11.5,11.5,3.58,3.03,0.9,,1.0,1.0,1,0,0,Đ.Nam,Đ.Văn Thân,P.8,Q.6,1.2,104.3,bán nhà nhỏ xinh quận 6 - gần công viên và chợ,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh",1,1,1,0,1.0
38,298794,4.9,14.7,2.6,3.3,2.04,,2.0,1.0,2,0,0,Đông,Đ.Âu Cơ,P.Tân Thành,Q.Tân Phú,1.2,244.8,bán nhà quận tân phú - khu dân cư an ninh,"Đ.Âu Cơ, P.Tân Thành, Q.Tân Phú, Hồ Chí Minh",1,1,0,0,1.0
40,411838,8.4,8.4,4.41,2.0,2.4,,2.0,3.0,2,0,0,Đông,Đ.Tân Hòa Đông,P.14,Q.6,1.2,142.8,"bán nhà mới, 1 trệt, 2 lầu, p.14, quận 6","Đ.Tân Hòa Đông, P.14, Q.6, Hồ Chí Minh",1,1,0,0,1.0
42,229234,14.8,14.8,10.7,1.45,2.3,,1.0,1.0,1,0,0,Bắc,Đ.Văn Thân,P.8,Q.6,1.25,84.4,bán nhà riêng nhỏ xinh quận 6 - gần chợ bình tiên,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh",1,1,1,0,1.0
44,131071,21.0,42.0,7.0,3.0,3.0,,2.0,2.0,1,0,0,Đ.Bắc,Đ.Nguyễn Bình,X.Phú Xuân,H.Nhà Bè,1.25,59.5,bán nhà nhỏ xinh hẻm thông thoáng xã phú xuân huyện nhà bè,"Đ.Nguyễn Bình, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
45,298387,18.0,54.0,6.0,3.0,3.0,,2.0,2.0,2,0,0,Đ.Nam,Đ.Huỳnh Tấn Phát,Thị trấn Nhà Bè,H.Nhà Bè,1.25,69.4,bán nhà hẻm thông thoáng trung tâm thị trấn nhà bè,"Đ.Huỳnh Tấn Phát, Thị trấn Nhà Bè, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
47,154712,10.5,10.5,4.59,2.5,2.0,,2.0,1.0,1,0,0,T.Bắc,Đ.Bến Bình Đông,P.15,Q.8,1.25,119.0,"bán nhà riêng phường 15, quận 8 - sổ hồng riêng chính chủ","Đ.Bến Bình Đông, P.15, Q.8, Hồ Chí Minh",1,1,0,0,1.0
48,173948,14.5,14.5,4.94,2.81,1.5,,2.0,1.0,1,0,0,Đ.Bắc,Đ.Lưu Hữu Phước,P.15,Q.8,1.25,86.2,"bán nhà riêng phường 15, quận 8 - sổ hồng riêng chính chủ","Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh",1,1,0,0,1.0
49,419116,8.9,19.4,4.7,1.85,1.78,,1.0,1.0,0,1,0,Đ.Bắc,Đ.Phú Thọ Hòa,P.Phú Thọ Hòa,Q.Tân Phú,1.27,142.6,"bán nhà nhỏ xinh, sạch sẽ, thiết kế hiện đại ở quận tân phú - phù hợp cho gia đình trẻ mua ở ổn định, lâu dài","Đ.Phú Thọ Hòa, P.Phú Thọ Hòa, Q.Tân Phú, Hồ Chí Minh",0,0,0,0,1.0
53,309836,16.0,32.0,5.31,3.17,2.5,,1.0,1.0,0,0,0,Đ.Nam,Đ.Bình Đông,P.14,Q.8,1.3,81.2,"bán nhà riêng phường 14, quận 8 - hướng đông nam","Đ.Bình Đông, P.14, Q.8, Hồ Chí Minh",1,0,1,0,1.0
54,218291,10.0,19.2,5.0,2.0,1.5,,1.0,2.0,1,0,0,Đông,Đ.Vĩnh Hội,P.4,Q.4,1.3,130.0,bán nhà ngõ hẻm quận 4 - nhà trống,"Đ.Vĩnh Hội, P.4, Q.4, Hồ Chí Minh",1,1,0,0,1.0
59,243290,13.4,13.4,6.1,2.29,1.96,,,1.0,1,0,0,T.Nam,Đ.Bình Tiên,P.8,Q.6,1.3,97.0,bán nhà 1 lầu quận 6 - gần chợ bình tiên,"Đ.Bình Tiên, P.8, Q.6, Hồ Chí Minh",1,1,0,0,1.0
60,417704,17.7,30.3,6.62,1.21,1.21,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Phạm Thế Hiển,P.4,Q.8,1.3,73.4,bán nhà riêng quận 8 - hẻm cụt an ninh - sổ hồng riêng,"Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh",0,0,1,1,1.0
61,68989,13.6,27.2,4.0,3.4,2.2,,1.0,1.0,1,0,0,Nam,Đ.Nguyễn Ảnh Thủ,P.Hiệp Thành,Q.12,1.32,97.0,bán nhà hẻm quận 12 - cách 600m tới chợ hiệp thành,"Đ.Nguyễn Ảnh Thủ, P.Hiệp Thành, Q.12, Hồ Chí Minh",1,0,0,1,1.0
63,241056,14.4,30.1,11.75,2.56,0.96,,1.0,1.0,0,1,0,Đ.Bắc,Đ.Hồng Bàng,P.12,Q.6,1.35,93.7,bán nhà riêng nhỏ xinh quận 6 - gần chợ,"Đ.Hồng Bàng, P.12, Q.6, Hồ Chí Minh",1,1,1,0,1.0
