item_code,item_name,bedroom,bathroom,area,direction,address,total_price,unit_price,gross_unit_price,payment,property_Phòng ngủ,property_Phòng tắm,property_Diện tích sử dụng,property_Hướng,property_Hiện trạng nhà,property_Giấy tờ,property_Chiều dài,property_Chiều rộng,property_Diện tích đất,property_Độ rộng hẻm,property_Kết cấu nhà,property_Năm xây dựng,property_Độ rộng mặt tiền đường,utility_Na,"utility_Gần chợ, siêu thị",utility_Gần trường học,utility_Di chuyển thuận tiện ra trung tâm,utility_Thiết kế thông thoáng,"utility_Khu vực an ninh, yên tĩnh",utility_Gần mặt tiền đường,utility_Gần bệnh viện,"utility_Gần công viên, trung tâm",utility_Sân để xe rộng rãi,utility_Hẻm thông,utility_Cần bán gấp,utility_Nở hậu,utility_2 Mặt hẻm,utility_2 Mặt đường chính
387193,Bán Chung Cư Cũ Gò Công Quận 5 - Gần Chợ Kim Biên,1,1,14 m²,Đông,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",750 triệu,,"53,5 triệu/m²","7,74 triệu/tháng",1,1,14 m²,Đông,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
417224,Bán căn hộ nhà ở xã hội huyện Bình Chánh,1,1,34.91 m²,,"Đ.Hương Lộ 80, X.Vĩnh Lộc A, H.Bình Chánh, Hồ Chí Minh",780 triệu,,"22,3 triệu/m²","8,05 triệu/tháng",1,1,34.91 m²,,,,,,,,,,,True,,,,,,,,,,,,,,
391821,Bán nhà hẻm an ninh Hồ Thị Kỷ P1 Q10 - Nhà kiên cố ở ngay,2,1,4.3 m²,Đ.Bắc,"Đ.Hồ Thị Kỷ, P.1, Q.10, Hồ Chí Minh",900 triệu,"196,5 triệu/m²","209,3 triệu/m²","9,29 triệu/tháng",2,1,12.9 m²,Đ.Bắc,,Sổ hồng,2.11 m,2.22 m,4.3 m²,1 m,1 trệt + 2 lầu,,,True,,,,,,,,,,,,,,
345253,"Bán nhà hẻm quận 4 - Nhà nhỏ, thích hợp gia đình nhỏ ở",1,1,10.2 m²,Đ.Nam,"Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",930 triệu,"83,7 triệu/m²","91,1 triệu/m²","9,6 triệu/tháng",1,1,20.4 m²,Đ.Nam,Đang ở,Sổ hồng,4 m,2.5 m,10.2 m²,1.8 m,1 trệt + 1 lầu,,,,True,True,True,True,True,,,,,,,,,
377209,"Bán lô đất nông nghiệp, diện tích 96.1m2 Tân Hiệp Hóc Môn",,,96.1 m²,T.Nam,"Đ.TL15, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh",950 triệu,,"9,8 triệu/m²","9,8 triệu/tháng",,,,T.Nam,,Sổ hồng,19.4 m,5 m,96.1 m²,2 m,,,,,True,True,,,,True,,,,,,,,
408203,"Bán Nhà Hẻm Xã Phú Xuân, Huyện Nhà Bè- Chỉ 3 phút di chuyển ra Phà Bình Khánh",2,1,19.8 m²,Đông,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",950 triệu,"40,5 triệu/m²","47,9 triệu/m²","9,8 triệu/tháng",2,1,39.6 m²,Đông,Đang ở,Sổ hồng,6 m,3.3 m,19.8 m²,2 m,1 trệt + 1 lầu,,,,True,True,True,True,True,,,,,,,,,
314361,"Bán đất nền Xã Qui Đức, Huyện Bình Chánh - Sổ hồng riêng chính chủ",,,51.5 m²,,"Đ.Qui Đức, X.Quy Đức, H.Bình Chánh, Hồ Chí Minh",950 triệu,,"18,4 triệu/m²","9,8 triệu/tháng",,,,,,Sổ hồng,13.28 m,4 m,51.5 m²,4 m,,,,,True,True,True,,,,,,,,,,,
207883,Bán Căn Hộ Chung Cư lầu 4 đường Gò Công - Trung Tâm Quận 5 - Gần chợ Kim Biên,1,1,44.1 m²,Tây,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",1 tỷ,,"22,6 triệu/m²","10,32 triệu/tháng",1,1,44.1 m²,Tây,Đang ở,Sổ hồng,,,,,,,,,True,True,True,True,True,,True,True,True,,,,,
315476,Bán nhà nhỏ Quận 6 - Gần chung cư Summer square - Đang cho thuê 3 triệu/ 1 tháng,1,1,10.6 m²,Tây,"Đ.An Dương Vương, P.13, Q.6, Hồ Chí Minh",1 tỷ,"90,1 triệu/m²","94,3 triệu/m²","10,32 triệu/tháng",1,1,10.6 m²,Tây,Đang cho thuê,Sổ hồng,3.38 m,2.59 m,10.6 m²,0.94 m,"1 trệt, 1 lửng, 1 gác suốt",2013,,,True,True,True,True,,,,True,,,,,,
393792,"Bán  căn hộ Res III, 1PN, 1WC,  Phường Tân Phú, Quận 7",1,1,36 m²,,"Đ.Tân Mỹ, P.Tân Phú, Q.7, Hồ Chí Minh","1,05 tỷ",,"29,1 triệu/m²","10,84 triệu/tháng",1,1,36 m²,,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
392210,Bán nhà hẻm Tôn Đản Phường 10 Quận 4 - Nhà gần Tiểu học Xóm Chiếu,1,1,7.4 m²,Bắc,"Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh","1,05 tỷ","134,4 triệu/m²","141,8 triệu/m²","10,84 triệu/tháng",1,1,14.8 m²,Bắc,,Sổ hồng,4.33 m,1.64 m,7.4 m²,2 m,1 trệt + 1 lầu,,,True,,,,,,,,,,,,,,
387712,Bán Nhà 1 Trệt 1 Lầu Hẻm Xe Máy Phường Tân Hưng Quận 7 ,1,1,10.3 m²,T.Bắc,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh","1,05 tỷ","94,2 triệu/m²","101,9 triệu/m²","10,84 triệu/tháng",1,1,21.4 m²,T.Bắc,Đang ở,Sổ hồng,5.1 m,2 m,10.3 m²,2.3 m,1 trệt + 1 lầu,,,,True,True,True,True,True,True,True,True,,,,,,
107510,"Bán nhà Quận Tân Phú hẻm yên tĩnh, giáp Tân Bình",2,2,7.6 m²,Đ.Nam,"Đ.Âu Cơ, P.Phú Trung, Q.Tân Phú, Hồ Chí Minh","1,05 tỷ","125,3 triệu/m²","138,1 triệu/m²","10,84 triệu/tháng",2,2,23 m²,Đ.Nam,,Sổ hồng,3.42 m,1.6 m,7.6 m²,2 m,1 trệt + 2 lầu,,,,,True,True,,True,,,True,,,,,,
417476,Bán căn hộ Lô C chung cư Phạm Thế Hiển - Sổ hồng riêng chính chủ,1,1,36.7 m²,Bắc,"Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh","1,1 tỷ",,"29,9 triệu/m²","11,35 triệu/tháng",1,1,36.7 m²,Bắc,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
