,Quận,Latitude,Longitude,Đơn giá gộp,Giá,Diện tích đất,Đơn giá gộp nhà ở,Giá nhà ở,Đơn giá gộp đất nền,Giá đất nền,Đơn giá gộp chung cư,Giá chung cư
0,H.Hóc Môn,10.8839675,106.5870611,36.47317073170732,19.767560975609758,1028.0782926829268,53.32105263157895,11.965789473684211,21.922727272727272,26.505454545454544,,
1,H.Bình Chánh,10.687392,106.5938538,41.59861111111111,9.255416666666667,436.35541666666666,85.96470588235294,19.88705882352941,18.39047619047619,12.078095238095237,33.75,2.1961764705882354
2,H.Nhà Bè,10.6952642,106.704874,50.968888888888884,17.60022222222222,610.882,66.64444444444445,5.9185185185185185,27.164285714285715,44.660714285714285,28.475,1.74
3,Q.12,10.8671531,106.6413322,54.97627118644068,17.662542372881354,537.3638983050847,81.71153846153847,7.53423076923077,37.38947368421052,43.23947368421052,29.192857142857143,1.7607142857142857
4,Q.Bình Tân,10.7652581,106.6038535,70.38315789473684,19.745368421052632,379.6264210526316,115.15365853658537,20.348536585365853,55.66,64.822,28.97948717948718,1.774102564102564
5,Q.9,10.8428402,106.8286851,75.80919540229884,22.521724137931034,399.0202298850575,122.84285714285714,37.03342857142857,55.16923076923077,45.26076923076923,40.47948717948718,1.9187179487179487
6,Q.Thủ Đức,10.8494094,106.7537055,86.38260869565217,34.82826086956522,746.165652173913,112.56285714285714,32.13514285714286,74.63333333333333,59.45857142857143,34.87692307692308,2.2915384615384613
7,Q.8,10.7240878,106.6286259,89.15315315315316,4.804414414414414,63.65459459459459,111.52405063291138,5.061139240506329,44.3,80.0,33.59032258064516,1.7245161290322581
8,Q.Tân Phú,11.4275308,107.36123,104.45,15.745000000000001,126.30367647058823,146.17560975609754,18.634390243902438,115.0,88.0,31.849999999999998,1.7770833333333333
9,Q.2,10.7872729,106.7498105,112.03838383838384,31.544949494949492,275.2807070707071,182.42903225806452,36.891935483870974,169.43529411764706,105.9270588235294,50.11960784313725,3.50078431372549
10,Q.7,10.7340344,106.7215787,112.58875,17.368000000000002,135.868625,161.08139534883722,26.153720930232556,153.42000000000002,40.022000000000006,41.046875,2.0225
11,Q.Gò Vấp,10.8386779,106.6652904,119.66973684210525,22.903552631578947,183.72671052631577,135.87301587301587,23.325079365079365,83.93333333333332,84.2,28.310000000000002,1.859
12,Q.4,10.7578263,106.7012968,138.765625,14.3725,87.093125,154.87692307692308,12.326923076923077,,,68.95,23.236666666666665
13,Q.Bình Thạnh,10.8105831,106.7091422,157.64526315789473,23.064,146.90852631578946,168.53827160493827,21.235802469135802,151.48333333333332,75.95833333333333,51.975,1.90375
14,Q.6,10.7480929,106.6352362,172.58051948051948,21.214025974025976,133.32805194805195,190.61515151515152,22.237575757575758,143.4,61.84,46.81111111111111,4.680000000000001
15,Q.Tân Bình,10.8014659,106.6525974,197.58809523809526,36.938095238095244,187.03595238095238,222.06857142857143,42.994285714285716,,,75.18571428571428,6.6571428571428575
16,Q.Phú Nhuận,10.7991944,106.6802639,202.19350649350648,23.095454545454544,114.6148051948052,210.29154929577467,23.73169014084507,119.1,33.0,103.82000000000001,12.08
17,Q.11,10.7629739,106.650084,220.49565217391302,32.24695652173913,160.50391304347826,246.2736842105263,34.694736842105264,161.4,39.6,34.7,1.6400000000000001
18,Q.5,10.7540279,106.6633746,282.666,21.6506,68.42,395.7176470588235,31.103823529411763,,,42.43125,1.5625
19,Q.3,10.7843695,106.6844089,305.7470588235294,28.567647058823532,87.84058823529412,321.37916666666666,30.22083333333333,,,55.63333333333333,2.1166666666666667
20,Q.10,10.7745965,106.6679542,312.58775510204083,31.804897959183673,110.70489795918367,319.5425531914894,32.130638297872345,259.7,46.5,38.6,1.8
21,Q.1,10.7756587,106.7004238,463.0074074074074,39.55277777777778,80.78611111111111,489.2183673469388,39.99795918367347,406.8,97.0,155.975,19.7375
