,Mã tin,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Phòng ngủ,Phòng tắm,Lầu,Lửng,Tầng thượng,Hướng,Đường,Phường,Quận,Giá,Đơn giá gộp,Tiêu đề,Địa chỉ,"Gần chợ, siêu thị",Gần trường học,Di chuyển thuận tiện ra trung tâm,"Khu vực an ninh, yên tĩnh",phân loại
0,387193,14.0,14.0,,,,,1.0,1.0,0,0,0,Đông,Đ.Gò Công,P.13,Q.5,0.75,53.5,bán chung cư cũ gò công quận 5 - gần chợ kim biên,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",0,0,0,0,2.0
1,417224,34.91,34.91,,,,,1.0,1.0,0,0,0,,Đ.Hương Lộ 80,X.Vĩnh Lộc A,H.Bình Chánh,0.78,22.3,bán căn hộ nhà ở xã hội huyện bình chánh,"Đ.Hương Lộ 80, X.Vĩnh Lộc A, H.Bình Chánh, Hồ Chí Minh",0,0,0,0,1.0
2,391821,4.3,12.9,2.11,2.22,1.0,,2.0,1.0,2,0,0,Đ.Bắc,Đ.Hồ Thị Kỷ,P.1,Q.10,0.9,209.3,bán nhà hẻm an ninh hồ thị kỷ p1 q10 - nhà kiên cố ở ngay,"Đ.Hồ Thị Kỷ, P.1, Q.10, Hồ Chí Minh",0,0,0,0,1.0
3,345253,10.2,20.4,4.0,2.5,1.8,,1.0,1.0,1,0,0,Đ.Nam,Đ.Tôn Đản,P.10,Q.4,0.93,91.1,"bán nhà hẻm quận 4 - nhà nhỏ, thích hợp gia đình nhỏ ở","Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",1,1,1,1,1.0
4,377209,96.1,,19.4,5.0,2.0,,,,0,0,0,T.Nam,Đ.TL15,X.Tân Hiệp,H.Hóc Môn,0.95,9.8,"bán lô đất nông nghiệp, diện tích 96.1m2 tân hiệp hóc môn","Đ.TL15, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh",1,1,0,0,3.0
5,408203,19.8,39.6,6.0,3.3,2.0,,2.0,1.0,1,0,0,Đông,Đ.Huỳnh Tấn Phát,X.Phú Xuân,H.Nhà Bè,0.95,47.9,"bán nhà hẻm xã phú xuân, huyện nhà bè- chỉ 3 phút di chuyển ra phà bình khánh","Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
6,314361,51.5,,13.28,4.0,4.0,,,,0,0,0,,Đ.Qui Đức,X.Quy Đức,H.Bình Chánh,0.95,18.4,"bán đất nền xã qui đức, huyện bình chánh - sổ hồng riêng chính chủ","Đ.Qui Đức, X.Quy Đức, H.Bình Chánh, Hồ Chí Minh",1,1,1,0,3.0
7,207883,44.1,44.1,,,,,1.0,1.0,0,0,0,Tây,Đ.Gò Công,P.13,Q.5,1.0,22.6,bán căn hộ chung cư lầu 4 đường gò công - trung tâm quận 5 - gần chợ kim biên,"Đ.Gò Công, P.13, Q.5, Hồ Chí Minh",1,1,1,1,2.0
8,315476,10.6,10.6,3.38,2.59,0.94,,1.0,1.0,0,1,0,Tây,Đ.An Dương Vương,P.13,Q.6,1.0,94.3,bán nhà nhỏ quận 6 - gần chung cư summer square - đang cho thuê 3 triệu/ 1 tháng,"Đ.An Dương Vương, P.13, Q.6, Hồ Chí Minh",1,1,1,0,1.0
9,393792,36.0,36.0,,,,,1.0,1.0,0,0,0,,Đ.Tân Mỹ,P.Tân Phú,Q.7,1.05,29.1,"bán  căn hộ res iii, 1pn, 1wc,  phường tân phú, quận 7","Đ.Tân Mỹ, P.Tân Phú, Q.7, Hồ Chí Minh",0,0,0,0,2.0
10,392210,7.4,14.8,4.33,1.64,2.0,,1.0,1.0,1,0,0,Bắc,Đ.Tôn Đản,P.10,Q.4,1.05,141.8,bán nhà hẻm tôn đản phường 10 quận 4 - nhà gần tiểu học xóm chiếu,"Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",0,0,0,0,1.0
11,387712,10.3,21.4,5.1,2.0,2.3,,1.0,1.0,1,0,0,T.Bắc,Đ.Trần Xuân Soạn,P.Tân Hưng,Q.7,1.05,101.9,bán nhà 1 trệt 1 lầu hẻm xe máy phường tân hưng quận 7 ,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh",1,1,1,1,1.0
12,107510,7.6,23.0,3.42,1.6,2.0,,2.0,2.0,2,0,0,Đ.Nam,Đ.Âu Cơ,P.Phú Trung,Q.Tân Phú,1.05,138.1,"bán nhà quận tân phú hẻm yên tĩnh, giáp tân bình","Đ.Âu Cơ, P.Phú Trung, Q.Tân Phú, Hồ Chí Minh",0,1,1,1,1.0
13,417476,36.7,36.7,,,,,1.0,1.0,0,0,0,Bắc,Đ.Phạm Thế Hiển,P.4,Q.8,1.1,29.9,bán căn hộ lô c chung cư phạm thế hiển - sổ hồng riêng chính chủ,"Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh",0,0,0,0,2.0
14,360588,4.7,9.2,3.32,1.52,2.1,,2.0,1.0,2,0,0,T.Bắc,Đ.Bông Sao,P.5,Q.8,1.1,234.0,bán nhà hẻm thông thoáng phường 5 quận 8 - sổ hồng riêng chính chủ,"Đ.Bông Sao, P.5, Q.8, Hồ Chí Minh",0,0,0,0,1.0
